B,U[-S]U[-C]
S,ffFFFF[-FFFFFFFFF]ffF
S,fFFFF[-FFFFFFFFF]ffFF
S,FFFF[-FFFFFFFFF]ffFFF
S,FFF[-FFFFFFFFF]ffFFFF
S,FF[-FFFFFFFFF]ffFFFF[
S,F[-FFFFFFFFF]ffFFFF[-
S,-FFFFFFFFF]ffFFFF[-Ff
S,FFFFFFFFF]ffFFFF[-FfF
S,FFFFFFFF]ffFFFF[-FfF[
S,FFFFFFF]ffFFFF[-FfF[-
S,FFFFFF]ffFFFF[-FfF[-F
S,[-FfF[-FF]fF[-FF]fF[+
S,FFFF]ffFFFF[-FfF[-FF]
S,FFF]ffFFFF[-FfF[-FF]f
S,FF]ffFFFF[-FfF[-FF]fF
S,F]ffFFFF[-FfF[-FF]fF[
S,]ffFFFF[-FfF[-FF]fF[-
S,ffFFFF[-FfF[-FF]fF[-F
S,fFFFF[-FfF[-FF]fF[-FF
S,FFFF[-FfF[-FF]fF[-FF]
S,FFF[-FfF[-FF]fF[-FF]f
S,FF[-FfF[-FF]fF[-FF]fF
S,FFFFF]ffFFFF[-FfF[-FF
S,F[-FfF[-FF]fF[-FF]fF[
S,[-FF]fF[+FF]fF[+FF]fF[
S,F[-FF]fF[+FF]fF[+FF]fF
S,fF[-FF]fF[+FF]fF[+FF]f
S,]fF[-FF]fF[+FF]fF[+FF]
S,FF]fF[+FF]fF[+FF]fF[-F
S,FF]fF[-FF]fF[+FF]fF[+F
S,-FF]fF[-FF]fF[+FF]fF[+
S,[-FF]fF[-FF]fF[+FF]fF[
S,-FF]fF[+FF]fF[+FF]fF[-
S,F]fF[-FF]fF[+FF]fF[+FF
S,F[-FF]fF[-FF]fF[+FF]fF
S,FfF[-FF]fF[-FF]fF[+FF]
S,]fF[+FF]fF[+FF]fF[-FF]
S,fF[+FF]fF[+FF]fF[-FF]f
S,F[+FF]fF[+FF]fF[-FF]fF
S,[+FF]fF[+FF]fF[-FF]fF[
S,+FF]fF[+FF]fF[-FF]fF[-
S,FF]fF[+FF]fF[-FF]fF[-F
S,F]fF[+FF]fF[-FF]fF[-FF
S,]fF[+FF]fF[-FF]fF[-FF]
S,fF[+FF]fF[-FF]fF[-FF]f
S,F[+FF]fF[-FF]fF[-FF]fF
S,fF[-FF]fF[-FF]fF[+FF]f
S,F]fF[+FF]fF[+FF]fF[-FF
S,+FF]fF[-FF]fF[-FF]fF]/
S,[+FF]fF[-FF]fF[-FF]fF]
S,-FfF[-FF]fF[-FF]fF[+FF
S,ffFFFF[-FFFFFFFFF]ffFF
S,fFFFF[-FFFFFFFFF]ffFFF
S,FFFF[-FFFFFFFFF]ffFFFF
S,FFF[-FFFFFFFFF]ffFFFF[
S,FF[-FFFFFFFFF]ffFFFF[-
S,F[-FFFFFFFFF]ffFFFF[-F
S,[-FFFFFFFFF]ffFFFF[-Ff
S,-FFFFFFFFF]ffFFFF[-FfF
S,FFFFFFFFF]ffFFFF[-FfF[
S,FFFFFFFF]ffFFFF[-FfF[-
S,FFFFFFF]ffFFFF[-FfF[-F
S,FFFFFF]ffFFFF[-FfF[-FF
S,[-FfF[-FF]fF[-FF]fF[+F
S,FFFF]ffFFFF[-FfF[-FF]f
S,FFF]ffFFFF[-FfF[-FF]fF
S,FF]ffFFFF[-FfF[-FF]fF[
S,F]ffFFFF[-FfF[-FF]fF[-
S,]ffFFFF[-FfF[-FF]fF[-F
S,ffFFFF[-FfF[-FF]fF[-FF
S,fFFFF[-FfF[-FF]fF[-FF]
S,FFFF[-FfF[-FF]fF[-FF]f
S,FFF[-FfF[-FF]fF[-FF]fF
S,FF[-FfF[-FF]fF[-FF]fF[
S,F[-FfF[-FF]fF[-FF]fF[+
S,FFFFF]ffFFFF[-FfF[-FF]
S,F[-FF]fF[+FF]fF[+FF]fF[
S,fF[-FF]fF[+FF]fF[+FF]fF
S,]fF[-FF]fF[+FF]fF[+FF]f
S,F]fF[-FF]fF[+FF]fF[+FF]
S,-FF]fF[+FF]fF[+FF]fF[-F
S,-FF]fF[-FF]fF[+FF]fF[+F
S,[-FF]fF[-FF]fF[+FF]fF[+
S,F[-FF]fF[-FF]fF[+FF]fF[
S,[-FF]fF[+FF]fF[+FF]fF[-
S,FF]fF[-FF]fF[+FF]fF[+FF
S,fF[-FF]fF[-FF]fF[+FF]fF
S,[+FF]fF[-FF]fF[-FF]fF]/
S,F]fF[+FF]fF[+FF]fF[-FF]
S,]fF[+FF]fF[+FF]fF[-FF]f
S,fF[+FF]fF[+FF]fF[-FF]fF
S,F[+FF]fF[+FF]fF[-FF]fF[
S,+FF]fF[+FF]fF[-FF]fF[-F
S,FF]fF[+FF]fF[-FF]fF[-FF
S,F]fF[+FF]fF[-FF]fF[-FF]
S,]fF[+FF]fF[-FF]fF[-FF]f
S,fF[+FF]fF[-FF]fF[-FF]fF
S,F[+FF]fF[-FF]fF[-FF]fF]
S,FfF[-FF]fF[-FF]fF[+FF]f
S,FF]fF[+FF]fF[+FF]fF[-FF
S,[+FF]fF[+FF]fF[-FF]fF[-
S,[-FfF[-FF]fF[-FF]fF[+FF
S,[-FFFFFFFFF]ffFFFF[-FfF
S,-FfF[-FF]fF[-FF]fF[+FF]
S,ffFFFF[-FFFFFFFFF]ffFFF
S,fFFFF[-FFFFFFFFF]ffFFFF
S,FFFF[-FFFFFFFFF]ffFFFF[
S,FFF[-FFFFFFFFF]ffFFFF[-
S,FF[-FFFFFFFFF]ffFFFF[-F
S,F[-FFFFFFFFF]ffFFFF[-Ff
S,-FFFFFFFFF]ffFFFF[-FfF[
S,FFFFFFFFF]ffFFFF[-FfF[-
S,FFFFFFFF]ffFFFF[-FfF[-F
S,FFFFFFF]ffFFFF[-FfF[-FF
S,F[-FfF[-FF]fF[-FF]fF[+F
S,FF[-FfF[-FF]fF[-FF]fF[+
S,FFFFFF]ffFFFF[-FfF[-FF]
S,FFF[-FfF[-FF]fF[-FF]fF[
S,FFFF[-FfF[-FF]fF[-FF]fF
S,fFFFF[-FfF[-FF]fF[-FF]f
S,ffFFFF[-FfF[-FF]fF[-FF]
S,FFFFF]ffFFFF[-FfF[-FF]f
S,F]ffFFFF[-FfF[-FF]fF[-F
S,FF]ffFFFF[-FfF[-FF]fF[-
S,FFF]ffFFFF[-FfF[-FF]fF[
S,FFFF]ffFFFF[-FfF[-FF]fF
S,]ffFFFF[-FfF[-FF]fF[-FF
S,[-FF]fF[+FF]fF[+FF]fF[-F
S,fF[-FF]fF[-FF]fF[+FF]fF[
S,F[-FF]fF[-FF]fF[+FF]fF[+
S,[-FF]fF[-FF]fF[+FF]fF[+F
S,-FF]fF[-FF]fF[+FF]fF[+FF
S,FF]fF[-FF]fF[+FF]fF[+FF]
S,F]fF[-FF]fF[+FF]fF[+FF]f
S,]fF[-FF]fF[+FF]fF[+FF]fF
S,fF[-FF]fF[+FF]fF[+FF]fF[
S,F[-FF]fF[+FF]fF[+FF]fF[-
S,-FF]fF[+FF]fF[+FF]fF[-FF
S,-FfF[-FF]fF[-FF]fF[+FF]f
S,F]fF[+FF]fF[+FF]fF[-FF]f
S,]fF[+FF]fF[+FF]fF[-FF]fF
S,fF[+FF]fF[+FF]fF[-FF]fF[
S,F[+FF]fF[+FF]fF[-FF]fF[-
S,[+FF]fF[+FF]fF[-FF]fF[-F
S,+FF]fF[+FF]fF[-FF]fF[-FF
S,FF]fF[+FF]fF[-FF]fF[-FF]
S,F]fF[+FF]fF[-FF]fF[-FF]f
S,]fF[+FF]fF[-FF]fF[-FF]fF
S,fF[+FF]fF[-FF]fF[-FF]fF]
S,F[+FF]fF[-FF]fF[-FF]fF]/
S,FF]fF[+FF]fF[+FF]fF[-FF]
S,FfF[-FF]fF[-FF]fF[+FF]fF
S,FFF[-FFFFFFFFF]ffFFFF[-F
S,ffFFFF[-FFFFFFFFF]ffFFFF
S,fFFFF[-FFFFFFFFF]ffFFFF[
S,FFFF[-FFFFFFFFF]ffFFFF[-
S,[-FfF[-FF]fF[-FF]fF[+FF]
S,FF[-FFFFFFFFF]ffFFFF[-Ff
S,F[-FFFFFFFFF]ffFFFF[-FfF
S,[-FFFFFFFFF]ffFFFF[-FfF[
S,-FFFFFFFFF]ffFFFF[-FfF[-
S,FFFFFFFFF]ffFFFF[-FfF[-F
S,FFFFFFFF]ffFFFF[-FfF[-FF
S,FFFFFFF]ffFFFF[-FfF[-FF]
S,FFFFFF]ffFFFF[-FfF[-FF]f
S,F[-FfF[-FF]fF[-FF]fF[+FF
S,FFFF]ffFFFF[-FfF[-FF]fF[
S,FFF]ffFFFF[-FfF[-FF]fF[-
S,FF]ffFFFF[-FfF[-FF]fF[-F
S,F]ffFFFF[-FfF[-FF]fF[-FF
S,]ffFFFF[-FfF[-FF]fF[-FF]
S,ffFFFF[-FfF[-FF]fF[-FF]f
S,fFFFF[-FfF[-FF]fF[-FF]fF
S,FFFF[-FfF[-FF]fF[-FF]fF[
S,FFF[-FfF[-FF]fF[-FF]fF[+
S,FF[-FfF[-FF]fF[-FF]fF[+F
S,FFFFF]ffFFFF[-FfF[-FF]fF
S,F[-FF]fF[+FF]fF[+FF]fF[-F
S,fF[-FF]fF[+FF]fF[+FF]fF[-
S,]fF[-FF]fF[+FF]fF[+FF]fF[
S,F]fF[-FF]fF[+FF]fF[+FF]fF
S,-FF]fF[+FF]fF[+FF]fF[-FF]
S,-FF]fF[-FF]fF[+FF]fF[+FF]
S,[-FF]fF[-FF]fF[+FF]fF[+FF
S,F[-FF]fF[-FF]fF[+FF]fF[+F
S,[-FF]fF[+FF]fF[+FF]fF[-FF
S,FF]fF[-FF]fF[+FF]fF[+FF]f
S,fF[-FF]fF[-FF]fF[+FF]fF[+
S,-FfF[-FF]fF[-FF]fF[+FF]fF
S,F]fF[+FF]fF[+FF]fF[-FF]fF
S,]fF[+FF]fF[+FF]fF[-FF]fF[
S,fF[+FF]fF[+FF]fF[-FF]fF[-
S,[+FF]fF[+FF]fF[-FF]fF[-FF
S,+FF]fF[+FF]fF[-FF]fF[-FF]
S,FF]fF[+FF]fF[-FF]fF[-FF]f
S,F]fF[+FF]fF[-FF]fF[-FF]fF
S,]fF[+FF]fF[-FF]fF[-FF]fF]
S,fF[+FF]fF[-FF]fF[-FF]fF]/
S,FfF[-FF]fF[-FF]fF[+FF]fF[
S,FF]fF[+FF]fF[+FF]fF[-FF]f
S,F[+FF]fF[+FF]fF[-FF]fF[-F
S,F[-FfF[-FF]fF[-FF]fF[+FF]
S,-FFFFFFFFF]ffFFFF[-FfF[-F
S,[-FfF[-FF]fF[-FF]fF[+FF]f
S,fFFFF[-FFFFFFFFF]ffFFFF[-
S,FFFF[-FFFFFFFFF]ffFFFF[-F
S,FFF[-FFFFFFFFF]ffFFFF[-Ff
S,FF[-FFFFFFFFF]ffFFFF[-FfF
S,F[-FFFFFFFFF]ffFFFF[-FfF[
S,[-FFFFFFFFF]ffFFFF[-FfF[-
S,FFFFFFFFF]ffFFFF[-FfF[-FF
S,FFFFFFFF]ffFFFF[-FfF[-FF]
S,FFFFFFF]ffFFFF[-FfF[-FF]f
S,FFFFFF]ffFFFF[-FfF[-FF]fF
S,ffFFFF[-FFFFFFFFF]ffFFFF[
S,FF[-FfF[-FF]fF[-FF]fF[+FF
S,FFFFF]ffFFFF[-FfF[-FF]fF[
S,FFF[-FfF[-FF]fF[-FF]fF[+F
S,FFFF[-FfF[-FF]fF[-FF]fF[+
S,fFFFF[-FfF[-FF]fF[-FF]fF[
S,ffFFFF[-FfF[-FF]fF[-FF]fF
S,FFFF]ffFFFF[-FfF[-FF]fF[-
S,F]ffFFFF[-FfF[-FF]fF[-FF]
S,FF]ffFFFF[-FfF[-FF]fF[-FF
S,FFF]ffFFFF[-FfF[-FF]fF[-F
S,]ffFFFF[-FfF[-FF]fF[-FF]f
S,fF[-FF]fF[+FF]fF[+FF]fF[-F
S,FfF[-FF]fF[-FF]fF[+FF]fF[+
S,fF[-FF]fF[-FF]fF[+FF]fF[+F
S,F[-FF]fF[-FF]fF[+FF]fF[+FF
S,[-FF]fF[-FF]fF[+FF]fF[+FF]
S,-FF]fF[-FF]fF[+FF]fF[+FF]f
S,FF]fF[-FF]fF[+FF]fF[+FF]fF
S,F]fF[-FF]fF[+FF]fF[+FF]fF[
S,]fF[-FF]fF[+FF]fF[+FF]fF[-
S,F[-FF]fF[+FF]fF[+FF]fF[-FF
S,[-FfF[-FF]fF[-FF]fF[+FF]fF
S,-FF]fF[+FF]fF[+FF]fF[-FF]f
S,FF]fF[+FF]fF[+FF]fF[-FF]fF
S,F]fF[+FF]fF[+FF]fF[-FF]fF[
S,]fF[+FF]fF[+FF]fF[-FF]fF[-
S,fF[+FF]fF[+FF]fF[-FF]fF[-F
S,F[+FF]fF[+FF]fF[-FF]fF[-FF
S,[+FF]fF[+FF]fF[-FF]fF[-FF]
S,FF]fF[+FF]fF[-FF]fF[-FF]fF
S,F]fF[+FF]fF[-FF]fF[-FF]fF]
S,]fF[+FF]fF[-FF]fF[-FF]fF]/
S,[-FF]fF[+FF]fF[+FF]fF[-FF]
S,-FfF[-FF]fF[-FF]fF[+FF]fF[
S,+FF]fF[+FF]fF[-FF]fF[-FF]f
S,ffFFFF[-FFFFFFFFF]ffFFFF[-
S,F[-FfF[-FF]fF[-FF]fF[+FF]f
S,fFFFF[-FFFFFFFFF]ffFFFF[-F
S,FFFF[-FFFFFFFFF]ffFFFF[-Ff
S,FFF[-FFFFFFFFF]ffFFFF[-FfF
S,FF[-FFFFFFFFF]ffFFFF[-FfF[
S,F[-FFFFFFFFF]ffFFFF[-FfF[-
S,[-FFFFFFFFF]ffFFFF[-FfF[-F
S,-FFFFFFFFF]ffFFFF[-FfF[-FF
S,FFFFFFFFF]ffFFFF[-FfF[-FF]
S,FFFFFFFF]ffFFFF[-FfF[-FF]f
S,FFFFFFF]ffFFFF[-FfF[-FF]fF
S,FF[-FfF[-FF]fF[-FF]fF[+FF]
S,FFFFF]ffFFFF[-FfF[-FF]fF[-
S,FFFF]ffFFFF[-FfF[-FF]fF[-F
S,FFF]ffFFFF[-FfF[-FF]fF[-FF
S,FF]ffFFFF[-FfF[-FF]fF[-FF]
S,F]ffFFFF[-FfF[-FF]fF[-FF]f
S,]ffFFFF[-FfF[-FF]fF[-FF]fF
S,ffFFFF[-FfF[-FF]fF[-FF]fF[
S,fFFFF[-FfF[-FF]fF[-FF]fF[+
S,FFFF[-FfF[-FF]fF[-FF]fF[+F
S,FFF[-FfF[-FF]fF[-FF]fF[+FF
S,FFFFFF]ffFFFF[-FfF[-FF]fF[
S,F]fF[-FF]fF[+FF]fF[+FF]fF[-
S,FF]fF[-FF]fF[+FF]fF[+FF]fF[
S,-FF]fF[-FF]fF[+FF]fF[+FF]fF
S,fF[-FF]fF[+FF]fF[+FF]fF[-FF
S,F[-FF]fF[-FF]fF[+FF]fF[+FF]
S,fF[-FF]fF[-FF]fF[+FF]fF[+FF
S,]fF[-FF]fF[+FF]fF[+FF]fF[-F
S,-FfF[-FF]fF[-FF]fF[+FF]fF[+
S,[-FF]fF[-FF]fF[+FF]fF[+FF]f
S,FfF[-FF]fF[-FF]fF[+FF]fF[+F
S,F[-FfF[-FF]fF[-FF]fF[+FF]fF
S,[-FF]fF[+FF]fF[+FF]fF[-FF]f
S,-FF]fF[+FF]fF[+FF]fF[-FF]fF
S,FF]fF[+FF]fF[+FF]fF[-FF]fF[
S,F]fF[+FF]fF[+FF]fF[-FF]fF[-
S,fF[+FF]fF[+FF]fF[-FF]fF[-FF
S,F[+FF]fF[+FF]fF[-FF]fF[-FF]
S,[+FF]fF[+FF]fF[-FF]fF[-FF]f
S,+FF]fF[+FF]fF[-FF]fF[-FF]fF
S,[-FfF[-FF]fF[-FF]fF[+FF]fF[
S,F]fF[+FF]fF[-FF]fF[-FF]fF]/
S,F[-FF]fF[+FF]fF[+FF]fF[-FF]
S,]fF[+FF]fF[+FF]fF[-FF]fF[-F
S,FF]fF[+FF]fF[-FF]fF[-FF]fF]
S,FF[-FfF[-FF]fF[-FF]fF[+FF]f
S,ffFFFF[-FFFFFFFFF]ffFFFF[-F
S,fFFFF[-FFFFFFFFF]ffFFFF[-Ff
S,FFFF[-FFFFFFFFF]ffFFFF[-FfF
S,FFF[-FFFFFFFFF]ffFFFF[-FfF[
S,FF[-FFFFFFFFF]ffFFFF[-FfF[-
S,F[-FFFFFFFFF]ffFFFF[-FfF[-F
S,[-FFFFFFFFF]ffFFFF[-FfF[-FF
S,-FFFFFFFFF]ffFFFF[-FfF[-FF]
S,FFFFFFFFF]ffFFFF[-FfF[-FF]f
S,FFFFFFFF]ffFFFF[-FfF[-FF]fF
S,FFF[-FfF[-FF]fF[-FF]fF[+FF]
S,FFFFFF]ffFFFF[-FfF[-FF]fF[-
S,FFFFF]ffFFFF[-FfF[-FF]fF[-F
S,FFFF]ffFFFF[-FfF[-FF]fF[-FF
S,FFF]ffFFFF[-FfF[-FF]fF[-FF]
S,FF]ffFFFF[-FfF[-FF]fF[-FF]f
S,F]ffFFFF[-FfF[-FF]fF[-FF]fF
S,]ffFFFF[-FfF[-FF]fF[-FF]fF[
S,ffFFFF[-FfF[-FF]fF[-FF]fF[+
S,fFFFF[-FfF[-FF]fF[-FF]fF[+F
S,FFFF[-FfF[-FF]fF[-FF]fF[+FF
S,FFFFFFF]ffFFFF[-FfF[-FF]fF[
S,FF]fF[-FF]fF[+FF]fF[+FF]fF[-
S,-FF]fF[-FF]fF[+FF]fF[+FF]fF[
S,[-FF]fF[-FF]fF[+FF]fF[+FF]fF
S,]fF[-FF]fF[+FF]fF[+FF]fF[-FF
S,fF[-FF]fF[-FF]fF[+FF]fF[+FF]
S,FfF[-FF]fF[-FF]fF[+FF]fF[+FF
S,-FfF[-FF]fF[-FF]fF[+FF]fF[+F
S,F]fF[-FF]fF[+FF]fF[+FF]fF[-F
S,F[-FF]fF[-FF]fF[+FF]fF[+FF]f
S,[-FfF[-FF]fF[-FF]fF[+FF]fF[+
S,FF]fF[+FF]fF[-FF]fF[-FF]fF]/
S,F[-FF]fF[+FF]fF[+FF]fF[-FF]f
S,[-FF]fF[+FF]fF[+FF]fF[-FF]fF
S,-FF]fF[+FF]fF[+FF]fF[-FF]fF[
S,FF]fF[+FF]fF[+FF]fF[-FF]fF[-
S,]fF[+FF]fF[+FF]fF[-FF]fF[-FF
S,fF[+FF]fF[+FF]fF[-FF]fF[-FF]
S,F[+FF]fF[+FF]fF[-FF]fF[-FF]f
S,[+FF]fF[+FF]fF[-FF]fF[-FF]fF
S,+FF]fF[+FF]fF[-FF]fF[-FF]fF]
S,F[-FfF[-FF]fF[-FF]fF[+FF]fF[
S,fF[-FF]fF[+FF]fF[+FF]fF[-FF]
S,F]fF[+FF]fF[+FF]fF[-FF]fF[-F
S,FF[-FfF[-FF]fF[-FF]fF[+FF]fF
S,F[-FFFFFFFFF]ffFFFF[-FfF[-FF
S,FFF[-FfF[-FF]fF[-FF]fF[+FF]f
S,ffFFFF[-FFFFFFFFF]ffFFFF[-Ff
S,fFFFF[-FFFFFFFFF]ffFFFF[-FfF
S,FFFF[-FFFFFFFFF]ffFFFF[-FfF[
S,FFF[-FFFFFFFFF]ffFFFF[-FfF[-
S,FF[-FFFFFFFFF]ffFFFF[-FfF[-F
S,[-FFFFFFFFF]ffFFFF[-FfF[-FF]
S,-FFFFFFFFF]ffFFFF[-FfF[-FF]f
S,FFFFFFFFF]ffFFFF[-FfF[-FF]fF
S,FFFFFFFF]ffFFFF[-FfF[-FF]fF[
S,FFFF[-FfF[-FF]fF[-FF]fF[+FF]
S,fFFFF[-FfF[-FF]fF[-FF]fF[+FF
S,FFFFFFF]ffFFFF[-FfF[-FF]fF[-
S,ffFFFF[-FfF[-FF]fF[-FF]fF[+F
S,]ffFFFF[-FfF[-FF]fF[-FF]fF[+
S,F]ffFFFF[-FfF[-FF]fF[-FF]fF[
S,FFFFFF]ffFFFF[-FfF[-FF]fF[-F
S,FFF]ffFFFF[-FfF[-FF]fF[-FF]f
S,FFFF]ffFFFF[-FfF[-FF]fF[-FF]
S,FFFFF]ffFFFF[-FfF[-FF]fF[-FF
S,FF]ffFFFF[-FfF[-FF]fF[-FF]fF
S,]fF[-FF]fF[+FF]fF[+FF]fF[-FF]
S,[-FfF[-FF]fF[-FF]fF[+FF]fF[+F
S,-FfF[-FF]fF[-FF]fF[+FF]fF[+FF
S,FfF[-FF]fF[-FF]fF[+FF]fF[+FF]
S,fF[-FF]fF[-FF]fF[+FF]fF[+FF]f
S,F[-FF]fF[-FF]fF[+FF]fF[+FF]fF
S,-FF]fF[-FF]fF[+FF]fF[+FF]fF[-
S,FF]fF[-FF]fF[+FF]fF[+FF]fF[-F
S,F]fF[-FF]fF[+FF]fF[+FF]fF[-FF
S,fF[-FF]fF[+FF]fF[+FF]fF[-FF]f
S,FF[-FfF[-FF]fF[-FF]fF[+FF]fF[
S,[-FF]fF[+FF]fF[+FF]fF[-FF]fF[
S,-FF]fF[+FF]fF[+FF]fF[-FF]fF[-
S,FF]fF[+FF]fF[+FF]fF[-FF]fF[-F
S,F]fF[+FF]fF[+FF]fF[-FF]fF[-FF
S,]fF[+FF]fF[+FF]fF[-FF]fF[-FF]
S,fF[+FF]fF[+FF]fF[-FF]fF[-FF]f
S,F[+FF]fF[+FF]fF[-FF]fF[-FF]fF
S,[+FF]fF[+FF]fF[-FF]fF[-FF]fF]
S,+FF]fF[+FF]fF[-FF]fF[-FF]fF]/
S,F[-FF]fF[+FF]fF[+FF]fF[-FF]fF
S,F[-FfF[-FF]fF[-FF]fF[+FF]fF[+
S,[-FF]fF[-FF]fF[+FF]fF[+FF]fF[
S,ffFFFF[-FFFFFFFFF]ffFFFF[-FfF
S,fFFFF[-FFFFFFFFF]ffFFFF[-FfF[
S,FFFF[-FFFFFFFFF]ffFFFF[-FfF[-
S,FFF[-FFFFFFFFF]ffFFFF[-FfF[-F
S,FF[-FFFFFFFFF]ffFFFF[-FfF[-FF
S,F[-FFFFFFFFF]ffFFFF[-FfF[-FF]
S,[-FFFFFFFFF]ffFFFF[-FfF[-FF]f
S,-FFFFFFFFF]ffFFFF[-FfF[-FF]fF
S,FFFFFFFFF]ffFFFF[-FfF[-FF]fF[
S,FFFFFFFF]ffFFFF[-FfF[-FF]fF[-
S,FFFFFFF]ffFFFF[-FfF[-FF]fF[-F
S,FFFF[-FfF[-FF]fF[-FF]fF[+FF]f
S,FFFFF]ffFFFF[-FfF[-FF]fF[-FF]
S,FFFF]ffFFFF[-FfF[-FF]fF[-FF]f
S,FFF]ffFFFF[-FfF[-FF]fF[-FF]fF
S,FFF[-FfF[-FF]fF[-FF]fF[+FF]fF
S,FF]ffFFFF[-FfF[-FF]fF[-FF]fF[
S,F]ffFFFF[-FfF[-FF]fF[-FF]fF[+
S,]ffFFFF[-FfF[-FF]fF[-FF]fF[+F
S,ffFFFF[-FfF[-FF]fF[-FF]fF[+FF
S,fFFFF[-FfF[-FF]fF[-FF]fF[+FF]
S,FFFFFF]ffFFFF[-FfF[-FF]fF[-FF
S,-FF]fF[-FF]fF[+FF]fF[+FF]fF[-F
S,[-FF]fF[-FF]fF[+FF]fF[+FF]fF[-
S,F[-FF]fF[-FF]fF[+FF]fF[+FF]fF[
S,F]fF[-FF]fF[+FF]fF[+FF]fF[-FF]
S,FfF[-FF]fF[-FF]fF[+FF]fF[+FF]f
S,-FfF[-FF]fF[-FF]fF[+FF]fF[+FF]
S,FF]fF[-FF]fF[+FF]fF[+FF]fF[-FF
S,fF[-FF]fF[-FF]fF[+FF]fF[+FF]fF
S,[-FfF[-FF]fF[-FF]fF[+FF]fF[+FF
S,FF[-FfF[-FF]fF[-FF]fF[+FF]fF[+
S,fF[-FF]fF[+FF]fF[+FF]fF[-FF]fF
S,F[-FF]fF[+FF]fF[+FF]fF[-FF]fF[
S,[-FF]fF[+FF]fF[+FF]fF[-FF]fF[-
S,FF]fF[+FF]fF[+FF]fF[-FF]fF[-FF
S,F]fF[+FF]fF[+FF]fF[-FF]fF[-FF]
S,]fF[+FF]fF[+FF]fF[-FF]fF[-FF]f
S,fF[+FF]fF[+FF]fF[-FF]fF[-FF]fF
S,[+FF]fF[+FF]fF[-FF]fF[-FF]fF]/
S,F[-FfF[-FF]fF[-FF]fF[+FF]fF[+F
S,]fF[-FF]fF[+FF]fF[+FF]fF[-FF]f
S,-FF]fF[+FF]fF[+FF]fF[-FF]fF[-F
S,F[+FF]fF[+FF]fF[-FF]fF[-FF]fF]
S,FFF[-FfF[-FF]fF[-FF]fF[+FF]fF[
S,fFFFF[-FFFFFFFFF]ffFFFF[-FfF[-
S,FFFF[-FFFFFFFFF]ffFFFF[-FfF[-F
S,FFF[-FFFFFFFFF]ffFFFF[-FfF[-FF
S,FF[-FFFFFFFFF]ffFFFF[-FfF[-FF]
S,F[-FFFFFFFFF]ffFFFF[-FfF[-FF]f
S,[-FFFFFFFFF]ffFFFF[-FfF[-FF]fF
S,-FFFFFFFFF]ffFFFF[-FfF[-FF]fF[
S,FFFFFFFFF]ffFFFF[-FfF[-FF]fF[-
S,FFFFFFFF]ffFFFF[-FfF[-FF]fF[-F
S,ffFFFF[-FFFFFFFFF]ffFFFF[-FfF[
S,FFFF[-FfF[-FF]fF[-FF]fF[+FF]fF
S,FFFFFFF]ffFFFF[-FfF[-FF]fF[-FF
S,fFFFF[-FfF[-FF]fF[-FF]fF[+FF]f
S,ffFFFF[-FfF[-FF]fF[-FF]fF[+FF]
S,]ffFFFF[-FfF[-FF]fF[-FF]fF[+FF
S,FFFFFF]ffFFFF[-FfF[-FF]fF[-FF]
S,FF]ffFFFF[-FfF[-FF]fF[-FF]fF[+
S,FFF]ffFFFF[-FfF[-FF]fF[-FF]fF[
S,FFFF]ffFFFF[-FfF[-FF]fF[-FF]fF
S,FFFFF]ffFFFF[-FfF[-FF]fF[-FF]f
S,F]ffFFFF[-FfF[-FF]fF[-FF]fF[+F
S,F[-FfF[-FF]fF[-FF]fF[+FF]fF[+FF
S,[-FfF[-FF]fF[-FF]fF[+FF]fF[+FF]
S,-FfF[-FF]fF[-FF]fF[+FF]fF[+FF]f
S,FfF[-FF]fF[-FF]fF[+FF]fF[+FF]fF
S,fF[-FF]fF[-FF]fF[+FF]fF[+FF]fF[
S,F[-FF]fF[-FF]fF[+FF]fF[+FF]fF[-
S,[-FF]fF[-FF]fF[+FF]fF[+FF]fF[-F
S,-FF]fF[-FF]fF[+FF]fF[+FF]fF[-FF
S,FF]fF[-FF]fF[+FF]fF[+FF]fF[-FF]
S,-FF]fF[+FF]fF[+FF]fF[-FF]fF[-FF
S,]fF[-FF]fF[+FF]fF[+FF]fF[-FF]fF
S,F[-FF]fF[+FF]fF[+FF]fF[-FF]fF[-
S,[-FF]fF[+FF]fF[+FF]fF[-FF]fF[-F
S,FF]fF[+FF]fF[+FF]fF[-FF]fF[-FF]
S,F]fF[+FF]fF[+FF]fF[-FF]fF[-FF]f
S,]fF[+FF]fF[+FF]fF[-FF]fF[-FF]fF
S,fF[+FF]fF[+FF]fF[-FF]fF[-FF]fF]
S,FF[-FfF[-FF]fF[-FF]fF[+FF]fF[+F
S,F[+FF]fF[+FF]fF[-FF]fF[-FF]fF]/
S,F]fF[-FF]fF[+FF]fF[+FF]fF[-FF]f
S,fF[-FF]fF[+FF]fF[+FF]fF[-FF]fF[
S,FFFF[-FfF[-FF]fF[-FF]fF[+FF]fF[
S,F[-FFFFFFFFF]ffFFFF[-FfF[-FF]fF
S,FFF[-FfF[-FF]fF[-FF]fF[+FF]fF[+
S,ffFFFF[-FFFFFFFFF]ffFFFF[-FfF[-
S,fFFFF[-FFFFFFFFF]ffFFFF[-FfF[-F
S,FFFF[-FFFFFFFFF]ffFFFF[-FfF[-FF
